Region_splitted;Variable_NeW;Sector_OMNIA;Share
ID;DINTENPHEAT;PG;0.0
ID;DINTENPIW;PG;0.0
ID;DINTENPLBF;PG;0.9780065512400562
ID;DINTENPMW;PG;0.0
ID;DINTENPOIL;PG;0.7117311763306625
ID;DINTENPSBM;PG;0.0
ID;DINTENPSOLT;PG;0.0
ID;DINTENPOIL;Refineries;0.6858431899590549
ID;DNONENPCOMB;Non energy;0.7334489911345651
ID;DNONENPGAS;Non energy;0.9057500835493004
ID;DNONENPOIL;Non energy;0.51064885828357
ID;DSTOCKPBG;BG;0.0
ID;DSTOCKPCOMB;COMB;1.27666363839231
ID;DSTOCKPGAS;GAS;0.0
ID;DSTOCKPIW;IW;0.0
ID;DSTOCKPLBF;LBF;1.2537705963220498
ID;DSTOCKPMW;MW;0.0
ID;DSTOCKPOIL;OIL;1.062939224676678
ID;DSTOCKPSBM;SBM;0.0
ID;EXPPBG;BG;0.0
ID;EXPPCOMB;COMB;0.9784761800697064
ID;EXPPELEC;ELEC;0.0
ID;EXPPGAS;GAS;1.0
ID;EXPPLBF;LBF;0.9974965961180053
ID;EXPPMW;MW;0.0
ID;EXPPOIL;OIL;0.3791346955099074
ID;EXPPSBM;SBM;1.0
ID;IMPPBG;BG;0.0
ID;IMPPCOMB;COMB;0.11103071507878752
ID;IMPPELEC;ELEC;0.0
ID;IMPPGAS;GAS;0.0
ID;IMPPHEAT;HEAT;0.0
ID;IMPPIW;IW;0.0
ID;IMPPLBF;LBF;0.0
ID;IMPPMW;MW;0.0
ID;IMPPOIL;OIL;0.4906384584011024
ID;IMPPSBM;SBM;1.0
ID;PRODPBG;Production;1.0
ID;PRODPCOMB;Production;0.9079961947851172
ID;PRODPGAS;Production;0.8101498835746483
ID;PRODPGEO;Production;0.542396430531217
ID;PRODPHYD;Production;0.17992891211624115
ID;PRODPIW;Production;0.0
ID;PRODPLBF;Production;0.9207074545909296
ID;PRODPMW;Production;0.0
ID;PRODPNUC;Production;0.0
ID;PRODPOIL;Production;0.7146483180001184
ID;PRODPOTH_URN;Production;0.0
ID;PRODPPV;Production;0.0015219384791177557
ID;PRODPSBM;Production;0.6468586548811911
ID;PRODPTID;Production;0.0
ID;PRODPWD;Production;0.0
ID;DINTENPNUC;PG;0.0
ID;DINTENPNUC;HT;0.0
ID;DINTENPPV;PG;0.0015219384791177557
ID;DINTENPPV;HT;0.0015219384791177557
ID;DINTENPWD;PG;0.0
ID;DINTENPWD;HT;0.0
ID;DINTENPHYD;PG;0.17992891211624115
ID;DINTENPHYD;HT;0.17992891211624115
ID;DINTENPTID;PG;0.0
ID;DINTENPTID;HT;0.0
UK;DFINENPBG;AGR;0.3308157323453848
UK;DFINENPCOMB;AGR;0.0
UK;DFINENPELEC;AGR;0.5425156936214945
UK;DFINENPGAS;AGR;0.8560055663347997
UK;DFINENPGEO;AGR;0.0
UK;DFINENPHEAT;AGR;0.06827617216361373
UK;DFINENPLBF;AGR;0.0
UK;DFINENPMW;AGR;0.0
UK;DFINENPOIL;AGR;0.617920988056549
