Region_NeW_cd;Variable_NeW_cd;Sector_NeW;Commodity_NeW_nm;Value_TJ;Share
IT;DFINENP;06;HEAT;39.942;0.0007290717287971449
IT;DFINENP;07;ELEC;603.5076;0.016707368459658384
IT;DFINENP;07;GAS;13432.043;0.18835760755248765
IT;DFINENP;07;HEAT;39.942;0.0007290717287971449
IT;DFINENP;13;COMB;1960.234;1.0
IT;DFINENP;13;ELEC;158.27400000000003;0.0043816217651343106
IT;DFINENP;13;HEAT;368.579;0.006727768482507708
IT;DFINENP;14;ELEC;21565.7208;0.5970205569966621
IT;DFINENP;14;GAS;52004.737;0.7292626924077249
IT;DFINENP;14;HEAT;35776.828;0.6530437594721872
IT;DFINENP;14;OIL;127513.56210000001;1.0
IT;DFINENP;17;ELEC;12330.543599999999;0.3413559915949402
IT;DFINENP;17;GAS;1251.072;0.017543789042062014
IT;DFINENP;17;HEAT;18559.442;0.33877032858771067
IT;DFINENP;38;GAS;4623.539;0.06483591099772545
JP;DFINENP;07;GAS;4812.224;0.13203565049046412
JP;DFINENP;13;COMB;119462.565;0.9774485340222611
JP;DFINENP;13;ELEC;9658.1088;0.1932052004796844
JP;DFINENP;13;GAS;605.715;0.016619337345234027
JP;DFINENP;13;OIL;283.0633;0.0009654961495532297
JP;DFINENP;14;COMB;2756.212605;0.02255146597773895
JP;DFINENP;14;ELEC;37900.3464;0.7581757646446772
JP;DFINENP;14;GAS;8788.253;0.24112815644695107
JP;DFINENP;14;OIL;292896.0448;0.9990345038504468
JP;DFINENP;38;ELEC;2430.4104;0.04861903487563839
JP;DFINENP;38;GAS;22240.207;0.6102168557173508
KR;DFINENP;06;OIL;5162.6178;0.020380860782012185
KR;DFINENP;13;COMB;59959.954;0.4424729032551958
KR;DFINENP;14;ELEC;51957.1584;1.0
KR;DFINENP;14;GAS;96185.027;0.9479368603762475
KR;DFINENP;14;HEAT;1324.288;1.0
KR;DFINENP;14;OIL;248144.53420000002;0.9796191392179878
KR;DFINENP;17;COMB;75551.065;0.5575270967448042
