Reg_cd;Sec_cd;int_kstock;ratio_kstock
CN;02;1.147772593;12.32200192
CN;03;1.142795017;12.34364253
CN;04;1.141119691;12.32631858
CN;05;2.228303044;9.562481385
CN;06;2.228303044;9.562481385
CN;07;2.228303044;9.562481385
CN;08;2.216231071;9.557547498
CN;09;0.549081205;14.14972596
CN;10;0.774545305;8.389115638
CN;11;0.788688518;8.118719366
CN;12;0.788529672;8.121182465
CN;13;0.509726941;15.57947783
CN;14;0.509726941;15.57947783
CN;15;0.786671374;12.13775475
CN;16;0.786671374;12.13775475
CN;17;1.09393127;22.86704266
CN;18;0.786260901;12.15064389
CN;19;0.721240491;43.42933212
CN;20;0.721240491;43.42933212
CN;21;0.721240491;43.42933212
CN;22;0.751096454;21.39015274
CN;23;0.751096454;21.39015274
CN;24;0.751096454;21.39015274
CN;25;0.520388005;13.93748988
CN;26;0.612033277;12.01611492
CN;27;0.930250302;27.85838378
CN;28;0.717418654;12.32226433
CN;29;0.930250302;27.85838378
CN;30;0.930250302;27.85838378
CN;31;0.635951741;15.47169936
CN;32;0.637620611;15.59874064
CN;33;0.803726354;8.107648618
CN;34;3.906329265;17.34009955
CN;35;3.934554249;34.78212484
CN;36;3.934554249;34.78212484
CN;37;3.934554249;34.78212484
CN;38;3.934554249;34.78212484
CN;39;3.934554249;34.78212484
CN;40;3.911207915;17.34636161
CN;41;0.256637499;7.660220568
CN;42;0.939125476;13.72320656
CN;43;1.158498512;14.7081989
CN;44;2.28676641;13.68841282
CN;45;2.28676641;13.68841282
CN;46;2.289707888;13.6925892
CN;47;2.289707888;13.6925892
CN;48;2.29020521;13.69244924
CN;49;2.292639884;13.69986454
CN;50;1.135059613;11.24898671
CN;51;1.136334637;11.26687736
CN;52;7.885983299;16.17455822
CN;53;1.522884178;10.13394171
CN;54;0.941326242;9.737834495
CN;55;0.936433068;9.696806728
CN;56;5.106202324;18.92835552
CN;57;1.597119888;12.21419251
CN;58;1.19188305;11.16995279
CN;59;1.323884064;12.24322616
DE;01;2.929005433;15.64403916
DE;02;2.929005433;15.64403916
DE;03;1.462362992;32.51792115
DE;04;3.554395604;22.30689655
DE;05;1.25736899;11.5856943
DE;06;1.25736899;11.5856943
DE;07;1.25736899;11.5856943
DE;08;1.25736899;11.5856943
DE;09;0.295462393;7.918149339
DE;10;0.368832118;8.458240946
DE;11;0.28370832;8.301953819
DE;12;0.360564385;8.478220706
DE;13;0.137741418;6.712573496
DE;14;0.137741418;6.712573496
DE;15;0.602673567;9.512565343
DE;16;0.602673567;9.512565343
DE;17;0.816610396;8.77204779
DE;18;0.385683703;7.072414749
DE;19;0.401324405;7.549220224
DE;20;0.401324405;7.549220224
DE;21;0.401324405;7.549220224
DE;22;0.276812366;8.073345908
